python3	/Users/timm/gits/moot/optimize/binary_config/Scrum1k.csv	1.73	1.67	27803648	0
pypy3	/Users/timm/gits/moot/optimize/binary_config/Scrum1k.csv	0.62	0.37	58261504	0
lua	/Users/timm/gits/moot/optimize/binary_config/Scrum1k.csv	0.26	0.25	7028736	0
luajit	/Users/timm/gits/moot/optimize/binary_config/Scrum1k.csv	0.15	0.11	6029312	0
python3	/Users/timm/gits/moot/optimize/process/coc1000.csv	1.87	1.71	25444352	0
pypy3	/Users/timm/gits/moot/optimize/process/coc1000.csv	0.39	0.39	61865984	0
lua	/Users/timm/gits/moot/optimize/process/coc1000.csv	0.12	0.12	4538368	0
luajit	/Users/timm/gits/moot/optimize/process/coc1000.csv	0.04	0.04	3801088	0
python3	/Users/timm/gits/moot/optimize/config/SS-P.csv	1.54	1.51	27148288	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-P.csv	0.45	0.41	57540608	0
lua	/Users/timm/gits/moot/optimize/config/SS-P.csv	0.04	0.03	4194304	0
luajit	/Users/timm/gits/moot/optimize/config/SS-P.csv	0.02	0.02	3850240	0
python3	/Users/timm/gits/moot/optimize/config/SS-L.csv	1.75	1.68	27066368	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-L.csv	0.39	0.38	59408384	0
lua	/Users/timm/gits/moot/optimize/config/SS-L.csv	0.07	0.07	4079616	0
luajit	/Users/timm/gits/moot/optimize/config/SS-L.csv	0.02	0.02	4390912	0
python3	/Users/timm/gits/moot/optimize/systems/LLVM.csv	1.50	1.49	27148288	0
pypy3	/Users/timm/gits/moot/optimize/systems/LLVM.csv	0.42	0.42	58408960	0
lua	/Users/timm/gits/moot/optimize/systems/LLVM.csv	0.03	0.03	4046848	0
luajit	/Users/timm/gits/moot/optimize/systems/LLVM.csv	0.02	0.02	3473408	0
python3	/Users/timm/gits/moot/optimize/config/SS-I.csv	1.52	1.5	26935296	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-I.csv	0.40	0.38	59817984	0
lua	/Users/timm/gits/moot/optimize/config/SS-I.csv	0.04	0.04	3850240	0
luajit	/Users/timm/gits/moot/optimize/config/SS-I.csv	0.02	0.02	3538944	0
python3	/Users/timm/gits/moot/optimize/sales_data/accessories.csv	1.54	1.53	27492352	0
pypy3	/Users/timm/gits/moot/optimize/sales_data/accessories.csv	0.39	0.38	61751296	0
lua	/Users/timm/gits/moot/optimize/sales_data/accessories.csv	0.07	0.07	5079040	0
luajit	/Users/timm/gits/moot/optimize/sales_data/accessories.csv	0.03	0.03	4800512	0
python3	/Users/timm/gits/moot/optimize/config/X264_AllMeasurements.csv	1.51	1.49	27131904	0
pypy3	/Users/timm/gits/moot/optimize/config/X264_AllMeasurements.csv	0.40	0.39	59326464	0
lua	/Users/timm/gits/moot/optimize/config/X264_AllMeasurements.csv	0.05	0.04	4685824	0
luajit	/Users/timm/gits/moot/optimize/config/X264_AllMeasurements.csv	0.06	0.03	5537792	0
python3	/Users/timm/gits/moot/optimize/config/SS-A.csv	1.57	1.53	26918912	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-A.csv	0.38	0.37	62160896	0
lua	/Users/timm/gits/moot/optimize/config/SS-A.csv	0.04	0.03	3784704	0
luajit	/Users/timm/gits/moot/optimize/config/SS-A.csv	0.02	0.02	3915776	0
python3	/Users/timm/gits/moot/optimize/financial_data/home_data_for_ml_course.csv	1.74	1.73	28966912	0
pypy3	/Users/timm/gits/moot/optimize/financial_data/home_data_for_ml_course.csv	0.48	0.48	69533696	0
lua	/Users/timm/gits/moot/optimize/financial_data/home_data_for_ml_course.csv	0.42	0.41	9601024	0
luajit	/Users/timm/gits/moot/optimize/financial_data/home_data_for_ml_course.csv	0.15	0.14	7815168	0
python3	/Users/timm/gits/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv	1.61	1.6	27459584	0
pypy3	/Users/timm/gits/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv	0.44	0.43	65896448	0
lua	/Users/timm/gits/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv	0.23	0.23	6176768	0
luajit	/Users/timm/gits/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv	0.08	0.07	8306688	0
python3	/Users/timm/gits/moot/optimize/config/SS-C.csv	1.50	1.5	26771456	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-C.csv	0.41	0.38	60178432	0
lua	/Users/timm/gits/moot/optimize/config/SS-C.csv	0.05	0.05	3784704	0
luajit	/Users/timm/gits/moot/optimize/config/SS-C.csv	0.03	0.02	4079616	0
python3	/Users/timm/gits/moot/optimize/systems/storm.csv	1.57	1.55	26935296	0
pypy3	/Users/timm/gits/moot/optimize/systems/storm.csv	0.42	0.41	62406656	0
lua	/Users/timm/gits/moot/optimize/systems/storm.csv	0.10	0.1	4571136	0
luajit	/Users/timm/gits/moot/optimize/systems/storm.csv	0.04	0.03	4046848	0
python3	/Users/timm/gits/moot/optimize/misc/Wine_quality.csv	1.52	1.52	26804224	0
pypy3	/Users/timm/gits/moot/optimize/misc/Wine_quality.csv	0.43	0.42	66453504	0
lua	/Users/timm/gits/moot/optimize/misc/Wine_quality.csv	0.11	0.1	4177920	0
